Date,CPI Rate
01-01-2000,99.1601
01-02-2000,98.85467
01-03-2000,99.05828
01-04-2000,99.2619
01-05-2000,99.36371
01-06-2000,99.1601
01-07-2000,98.85467
01-08-2000,99.1601
01-09-2000,99.05828
01-10-2000,99.05828
01-11-2000,98.75286
01-12-2000,98.85467
01-01-2001,98.85467
01-02-2001,98.54925
01-03-2001,98.44744
01-04-2001,98.54925
01-05-2001,98.65105
01-06-2001,98.44744
01-07-2001,98.14202
01-08-2001,98.44744
01-09-2001,98.34563
01-10-2001,98.34563
01-11-2001,97.8366
01-12-2001,97.73479
01-01-2002,97.53118
01-02-2002,97.02214
01-03-2002,97.22575
01-04-2002,97.53118
01-05-2002,97.8366
01-06-2002,97.73479
01-07-2002,97.32757
01-08-2002,97.63299
01-09-2002,97.63299
01-10-2002,97.42937
01-11-2002,97.42937
01-12-2002,97.42937
01-01-2003,97.12395
01-02-2003,96.81853
01-03-2003,97.12395
01-04-2003,97.42937
01-05-2003,97.63299
01-06-2003,97.32757
01-07-2003,97.12395
01-08-2003,97.32757
01-09-2003,97.42937
01-10-2003,97.42937
01-11-2003,96.92033
01-12-2003,97.02214
01-01-2004,96.81853
01-02-2004,96.81853
01-03-2004,97.02214
01-04-2004,97.02214
01-05-2004,97.12395
01-06-2004,97.32757
01-07-2004,97.02214
01-08-2004,97.12395
01-09-2004,97.42937
01-10-2004,97.93841
01-11-2004,97.73479
01-12-2004,97.22575
01-01-2005,97.02214
01-02-2005,96.71672
01-03-2005,97.02214
01-04-2005,97.12395
01-05-2005,97.22575
01-06-2005,96.81853
01-07-2005,96.71672
01-08-2005,96.81853
01-09-2005,97.12395
01-10-2005,97.12395
01-11-2005,96.71672
01-12-2005,96.81853
01-01-2006,96.92033
01-02-2006,96.61491
01-03-2006,96.81853
01-04-2006,97.02214
01-05-2006,97.32757
01-06-2006,97.32757
01-07-2006,97.02214
01-08-2006,97.73479
01-09-2006,97.73479
01-10-2006,97.53118
01-11-2006,97.02214
01-12-2006,97.12395
01-01-2007,96.92033
01-02-2007,96.4113
01-03-2007,96.71672
01-04-2007,97.02214
01-05-2007,97.32757
01-06-2007,97.12395
01-07-2007,97.02214
01-08-2007,97.53118
01-09-2007,97.53118
01-10-2007,97.73479
01-11-2007,97.63299
01-12-2007,97.73479
01-01-2008,97.63299
01-02-2008,97.42937
01-03-2008,97.8366
01-04-2008,97.73479
01-05-2008,98.54925
01-06-2008,99.05828
01-07-2008,99.2619
01-08-2008,99.56732
01-09-2008,99.56732
01-10-2008,99.46552
01-11-2008,98.54925
01-12-2008,98.14202
01-01-2009,97.63299
01-02-2009,97.32757
01-03-2009,97.63299
01-04-2009,97.73479
01-05-2009,97.53118
01-06-2009,97.32757
01-07-2009,97.02214
01-08-2009,97.32757
01-09-2009,97.32757
01-10-2009,96.92033
01-11-2009,96.71672
01-12-2009,96.51311
01-01-2010,96.61491
01-02-2010,96.61491
01-03-2010,96.81853
01-04-2010,96.81853
01-05-2010,96.81853
01-06-2010,96.61491
01-07-2010,96.10588
01-08-2010,96.20769
01-09-2010,96.4113
01-10-2010,96.71672
01-11-2010,96.4113
01-12-2010,96.20769
01-01-2011,96.10588
01-02-2011,96.10588
01-03-2011,96.30949
01-04-2011,96.4113
01-05-2011,96.4113
01-06-2011,96.30949
01-07-2011,96.30949
01-08-2011,96.4113
01-09-2011,96.4113
01-10-2011,96.51311
01-11-2011,95.90227
01-12-2011,96.00407
01-01-2012,96.20769
01-02-2012,96.4113
01-03-2012,96.81853
01-04-2012,96.92033
01-05-2012,96.61491
01-06-2012,96.10588
01-07-2012,95.80046
01-08-2012,96.00407
01-09-2012,96.10588
01-10-2012,96.10588
01-11-2012,95.80046
01-12-2012,95.80046
01-01-2013,95.90227
01-02-2013,95.69865
01-03-2013,95.90227
01-04-2013,96.20769
01-05-2013,96.30949
01-06-2013,96.30949
01-07-2013,96.51311
01-08-2013,96.81853
01-09-2013,97.12395
01-10-2013,97.22575
01-11-2013,97.22575
01-12-2013,97.32757
01-01-2014,97.22575
01-02-2014,97.22575
01-03-2014,97.42937
01-04-2014,99.46552
01-05-2014,99.87274
01-06-2014,99.77094
01-07-2014,99.87274
01-08-2014,100.0764
01-09-2014,100.28
01-10-2014,99.97455
01-11-2014,99.66913
01-12-2014,99.66913
01-01-2015,99.56732
01-02-2015,99.36371
01-03-2015,99.66913
01-04-2015,100.1782
01-05-2015,100.4836
01-06-2015,100.1782
01-07-2015,100.0764
01-08-2015,100.1782
01-09-2015,100.28
01-10-2015,100.28
01-11-2015,99.87274
01-12-2015,99.87274
01-01-2016,99.46552
01-02-2016,99.56732
01-03-2016,99.66913
01-04-2016,99.87274
01-05-2016,99.97455
01-06-2016,99.87274
01-07-2016,99.66913
01-08-2016,99.66913
01-09-2016,99.77094
01-10-2016,100.3818
01-11-2016,100.3818
01-12-2016,100.1782
01-01-2017,99.97455
01-02-2017,99.87274
01-03-2017,99.87274
01-04-2017,100.28
01-05-2017,100.3818
01-06-2017,100.28
01-07-2017,100.0764
01-08-2017,100.28
01-09-2017,100.5854
01-10-2017,100.5854
01-11-2017,100.8908
01-12-2017,101.1962
01-01-2018,101.298
01-02-2018,101.298
01-03-2018,100.9926
01-04-2018,100.8908
01-05-2018,101.0944
01-06-2018,100.9926
01-07-2018,100.9926
01-08-2018,101.6035
01-09-2018,101.7053
01-10-2018,102.0107
01-11-2018,101.8071
01-12-2018,101.5017
01-01-2019,101.5017
01-02-2019,101.5017
01-03-2019,101.5017
01-04-2019,101.8071
01-05-2019,101.8071
01-06-2019,101.6035
01-07-2019,101.6035
01-08-2019,101.8071
01-09-2019,101.9089
01-10-2019,102.2143
01-11-2019,102.3161
01-12-2019,102.3161
01-01-2020,102.3161
01-02-2020,102.1125
01-03-2020,102.1125
01-04-2020,102.0107
01-05-2020,101.9089
01-06-2020,101.7053
01-07-2020,101.8071
01-08-2020,101.9089
01-09-2020,101.7053
01-10-2020,101.6035
01-11-2020,101.298
01-12-2020,101.0944
01-01-2021,101.6035
01-02-2021,101.6035
01-03-2021,101.7053
01-04-2021,100.8908
01-05-2021,101.1962
01-06-2021,101.298
01-07-2021,100.1
01-08-2021,99.8
01-09-2021,100
01-10-2021,100.1
01-11-2021,100.3
01-12-2021,100.9
01-01-2022,101.3
01-02-2022,101.5
01-03-2022,101.8
01-04-2022,102
01-05-2022,102.3
01-06-2022,102.6
01-07-2022,103.1
01-08-2022,103.5
01-09-2022,103.8
01-10-2022,104.1
01-11-2022,104.6
01-12-2022,104.2
01-01-2023,104.5
01-02-2023,105
01-03-2023,105.1
01-04-2023,105.3
01-05-2023,105.7
01-06-2023,105.9
01-07-2023,106.3
01-08-2023,107
01-09-2023,106.8
01-10-2023,106.7
01-11-2023,106.8
01-12-2023,107.1
01-01-2024,107.4
01-02-2024,107.6
01-03-2024,108
01-04-2024,108.4
01-05-2024,108.6
01-06-2024,109.1
01-07-2024,109
01-08-2024,109.4
01-09-2024,109.9
01-10-2024,110.6
01-11-2024,111.1
01-12-2024,111
01-01-2025,111.3
01-02-2025,111.4
01-03-2025,111.8
01-04-2025,111.9
01-05-2025,112
01-06-2025,112.1
01-07-2025,112.2
01-08-2025,112.3
